Num,LeetCode Problem,Topic,Video Explanation,Level
1,Two Sum,Array,https://www.youtube.com/watch?v=BQ2IJ-fouJ4,Easy
2,Best Time to Buy and Sell Stock,Array,https://www.youtube.com/watch?v=CCQBvgPages,Easy
3,Contains Duplicate,Array,https://www.youtube.com/watch?v=c_q_Pc2yg_0,Easy
4,Contains Duplicate II,Array,https://www.youtube.com/watch?v=Te_MCY4uG-M,Easy
5,Product of Array Except Self,Array,https://www.youtube.com/watch?v=UxmLwxH-lhM,Medium
6,Maximum Subarray,Array,https://www.youtube.com/watch?v=nr2djEYM7_A,Medium
7,Maximum Product Subarray,Array,https://www.youtube.com/watch?v=OuRQ_TCCjsU,Medium
8,Find Minimum in Rotated Sorted Array,Array,https://www.youtube.com/watch?v=Dr69TSfv9JI,Medium
9,Search in Rotated Sorted Array,Array,https://www.youtube.com/watch?v=sE_4DzVc71w,Medium
10,Two Sum - II,Array,https://www.youtube.com/watch?v=c9ywRRJcP1Y,Medium
11,3 Sum,Array,https://www.youtube.com/watch?v=WtloSzFYvho,Medium
12,Container With Most Water,Array,https://www.youtube.com/watch?v=wi8fqhNoV-Y,Medium
13,Verifying an Alien Dictionary,Array,https://www.youtube.com/watch?v=8NoyVvm1v88,Easy
14,Next Permutation,Array,https://www.youtube.com/watch?v=oc3OOtGmH6U,Medium
15,Remove Duplicates from Sorted Array,Array,https://www.youtube.com/watch?v=0F49FLuzScU,Medium
16,Find First and Last Position of Element in Sorted Array,Array,https://www.youtube.com/watch?v=aPD6g96fRO4,Medium
17,Trapping Rain Water,Array,https://www.youtube.com/watch?v=AFl_VxaO_F0,Hard
18,Median of Two Sorted Arrays,Array,https://www.youtube.com/watch?v=LRM4qiHLYCE,Hard
19,Climbing Stairs,Dynamic Programming,https://www.youtube.com/watch?v=5mWBnYrdO70,Easy
20,Coin Change,Dynamic Programming,https://www.youtube.com/watch?v=UOmlkfWMU6M,Medium
21,Longest Increasing Subsequence,Dynamic Programming,https://www.youtube.com/watch?v=cixz99yxgWA,Medium
22,Longest Common Subsequence,Dynamic Programming,https://www.youtube.com/watch?v=lPnPdSIliII,Medium
23,Word Break Problem,Dynamic Programming,https://www.youtube.com/watch?v=XD9tXO9HW40,Medium
24,Combination Sum,Dynamic Programming,https://www.youtube.com/watch?v=dJBbuDK4ZRk,Medium
25,House Robber,Dynamic Programming,https://www.youtube.com/watch?v=jFmfYi_dvwQ,Medium
26,House Robber II,Dynamic Programming,https://www.youtube.com/watch?v=c_rwra1aITY,Medium
27,Decode Ways,Dynamic Programming,https://www.youtube.com/watch?v=ayGRvdnjFKg,Medium
28,Unique Paths,Dynamic Programming,https://www.youtube.com/watch?v=klWLMgdMWCY,Medium
29,Pascal's Triangle,Dynamic Programming,https://www.youtube.com/watch?v=f0EEHwaY3HY,Easy
30,Generate Parentheses,Dynamic Programming,https://www.youtube.com/watch?v=VzMyeCMLdPI,Medium
31,Jump Game,Dynamic Programming,https://www.youtube.com/watch?v=PVNLmjJaHW0,Medium
32,Jump Game II,Dynamic Programming,https://www.youtube.com/watch?v=d_1GRnMg_zs,Medium
33,Regular Expression Matching,Dynamic Programming,https://www.youtube.com/watch?v=VFQddcCP46c,Hard
34,Race Car,Dynamic Programming,https://www.youtube.com/watch?v=TAXt_TkSNfw,Hard
35,Clone Graph,Graph,https://www.youtube.com/watch?v=1aN0WWM0-Eo,Medium
36,Course Schedule,Graph,https://www.youtube.com/watch?v=ge9WKEsVue0,Medium
37,Course Schedule II,Graph,https://www.youtube.com/watch?v=_RWV4hZdmdk,Medium
38,Pacific Atlantic Water Flow,Graph,https://www.youtube.com/watch?v=fTohawuMcvY,Medium
39,Number of Islands,Graph,https://www.youtube.com/watch?v=H-2Nh2RXX6g,Medium
40,Longest Consecutive Sequence,Graph,https://www.youtube.com/watch?v=sJBf-JdWGhM,Medium
41,Alien Dictionary (Leetcode Premium),Graph,https://www.youtube.com/watch?v=1QbsN5JyPto,Hard
42,Graph Valid Tree (Leetcode Premium),Graph,https://www.youtube.com/watch?v=WU3-vo0MJW0,Medium
43,Number of Provinces,Graph,https://www.youtube.com/watch?v=ff38kbREIX8,Medium
44,Find the Celebrity,Graph,https://www.youtube.com/watch?v=lqdgGNGPS68,Medium
45,Number of Connected Components in an Undirected Graph (Leetcode Premium),Graph,https://www.youtube.com/watch?v=NDInpfnTMos,Medium
46,Roman to Integer,Hashing,https://www.youtube.com/watch?v=qmkr61ySQwQ,Easy
47,Copy List with Random Pointer,Hashing,https://www.youtube.com/watch?v=vy7ZJ4TdyS8,Medium
48,Word Ladder,Hashing,https://www.youtube.com/watch?v=isLTjdCw52s,Hard
49,First Missing Positive,Hashing,https://www.youtube.com/watch?v=N8DefKVUIKw,Hard
50,Insert Interval,Interval,https://www.youtube.com/watch?v=16YiKk6ga7Y,Medium
51,Merge Intervals,Interval,https://www.youtube.com/watch?v=n3F2v9f8OfY,Medium
52,Non-overlapping Intervals,Interval,https://www.youtube.com/watch?v=y8nBFmPsAF8,Medium
53,Remove Interval,Interval,https://www.youtube.com/watch?v=YrB_zKEHgmQ,Medium
54,Meeting Rooms (Leetcode Premium),Interval,https://www.youtube.com/watch?v=5nqLIwo0oC0,Easy
55,Meeting Rooms II (Leetcode Premium),Interval,https://www.youtube.com/watch?v=sQkgNfoPrDw,Medium
56,Add Two Numbers,Linked List,https://www.youtube.com/watch?v=MYtp__JpTns,Medium
57,Reverse a Linked List,Linked List,https://www.youtube.com/watch?v=FHhItaCZ2pE,Easy
58,Detect Cycle in a Linked List,Linked List,https://www.youtube.com/watch?v=k-gTqlOBT1g,Easy
59,Merge Two Sorted Lists,Linked List,https://www.youtube.com/watch?v=Bwymxn-n6XA,Easy
60,Merge K Sorted Lists,Linked List,https://www.youtube.com/watch?v=SlKgDtpJnxg,Hard
61,Remove Nth Node From End Of List,Linked List,https://www.youtube.com/watch?v=hZtAW3cp8vQ,Medium
62,Reorder List,Linked List,https://www.youtube.com/watch?v=lBdS4AV1EGw,Medium
63,Middle of the Linked-List,Linked List,https://www.youtube.com/watch?v=s7cHxJBuhjg,Easy
64,Flatten Binary Tree to Linked List,Linked List,https://www.youtube.com/watch?v=3IrFrQ2JSfg,Medium
65,Reverse Nodes in k-Group,Linked List,https://www.youtube.com/watch?v=P9_K8M4nnf0,Hard
66,Set Matrix Zeroes,Matrix,https://www.youtube.com/watch?v=JwQvyZcwcP4,Medium
67,Spiral Matrix,Matrix,https://www.youtube.com/watch?v=xUpnTpzMqfI,Medium
68,Rotate Image,Matrix,https://www.youtube.com/watch?v=dF1E3G9wBCw,Medium
69,Longest Increasing Path in a Matrix,Matrix,https://www.youtube.com/watch?v=gvwTGXP-reQ,Hard
70,Word Search,Matrix,https://www.youtube.com/watch?v=5VRCAx2DVas,Medium
71,Valid Sudoku,Matrix,https://www.youtube.com/watch?v=q2fl7lUkc8o,Medium
72,Game of Life,Matrix,https://www.youtube.com/watch?v=1FQNMDPZXRc,Medium
73,LRU Cache,Design,https://www.youtube.com/watch?v=VPq5dlxaeP8,Medium
74,Insert Delete GetRandom O(1),Design,https://www.youtube.com/watch?v=cRPoqZOlDkg,Medium
75,Logger Rate Limiter,Design,https://www.youtube.com/watch?v=gYNSX9yVuhQ,Easy
76,Design Tic-Tac-Toe,Design,https://www.youtube.com/watch?v=eaBYb0uSfBM,Medium
77,Moving Average from Data Stream,Design,https://www.youtube.com/watch?v=WTuA4qNZky4,Easy
78,Merge Sorted Array,Sorting,https://www.youtube.com/watch?v=05mXJB5SLA8,Easy
79,Largest Number,Sorting,https://www.youtube.com/watch?v=q6tyGuVVbfE,Medium
80,Sort List,Sorting,https://www.youtube.com/watch?v=7halZ77R55o,Medium
81,Sort Colors,Sorting,https://www.youtube.com/watch?v=HO-qzdL_x8U,Medium
82,Majority Element,Sorting,https://www.youtube.com/watch?v=UoTI6zBIBMo,Easy
83,Longest Substring Without Repeating Characters,String,https://www.youtube.com/watch?v=RMQ-gRQAY0o,Medium
84,Longest Repeating Character Replacement,String,https://www.youtube.com/watch?v=FYyWsqFjkZk,Medium
85,Fizz Buzz,String,https://www.youtube.com/watch?v=E3eO7jTFElU,Easy
86,Longest Common Prefix,String,https://www.youtube.com/watch?v=PWoIZxcamsQ,Easy
87,Minimum Window Substring,String,https://www.youtube.com/watch?v=tMx5JZSBWIE,Hard
88,Valid Anagram,String,https://www.youtube.com/watch?v=qyQni3rz-ko,Easy
89,Group Anagrams,String,https://www.youtube.com/watch?v=dEMcIpBOHpg,Medium
90,Valid Parentheses,String,https://www.youtube.com/watch?v=D4l9TK0tWcI,Easy
91,Valid Palindrome,String,https://www.youtube.com/watch?v=MFPmKyThyHk,Easy
92,Longest Palindromic Substring,String,https://www.youtube.com/watch?v=92KOT17h8zw,Medium
93,Letter Combinations of a Phone Number,String,https://www.youtube.com/watch?v=dmYiOfy8a-k,Medium
94,Palindromic Substrings,String,https://www.youtube.com/watch?v=WfkVe8egZbU,Medium
95,Encode and Decode Strings (Leetcode Premium),String,https://www.youtube.com/watch?v=P5LQbpI4p_I,Medium
96,Palindrome Linked List,String,https://www.youtube.com/watch?v=uGGAJxeXa4U,Easy
97,Text Justification,String,https://www.youtube.com/watch?v=Pf_1Ox9ud_w,Hard
98,Min Stack,Stack,https://www.youtube.com/watch?v=To2iap-ac3g,Medium
99,Largest Rectangle in Histogram,Stack,https://www.youtube.com/watch?v=IasMlShanvc,Hard
100,Minimum Remove to Make Valid Parentheses,Stack,https://www.youtube.com/watch?v=h9skhJ_UZQo,Medium
101,Longest Valid Parentheses,Stack,https://www.youtube.com/watch?v=GrSL3c8G6k8,Hard
102,Max Stack,Stack,https://www.youtube.com/watch?v=SyDmmNQFW_I,Hard
103,Maximum Depth of Binary Tree,Tree,https://www.youtube.com/watch?v=yi7ym5R5aYI,Easy
104,Same Tree,Tree,https://www.youtube.com/watch?v=yi7ym5R5aYI,Easy
105,Symmetric Tree,Tree,https://www.youtube.com/watch?v=NeSeH2ECZUw,Easy
106,Invert/Flip Binary Tree,Tree,https://www.youtube.com/watch?v=yb2Y9h2YWio,Easy
107,Binary Tree Maximum Path Sum,Tree,https://www.youtube.com/watch?v=6wv9yMSenvQ,Hard
108,Binary Tree Level Order Traversal,Tree,https://www.youtube.com/watch?v=tBJ1a5ljFCQ,Medium
109,Serialize and Deserialize Binary Tree,Tree,https://www.youtube.com/watch?v=vqbpTOU-LS4,Hard
110,Subtree of Another Tree,Tree,https://www.youtube.com/watch?v=YOW_-ptARNE,Easy
111,Find Leaves of Binary Tree,Tree,https://www.youtube.com/watch?v=VZCWLZ5PvKM,Medium
112,Construct Binary Tree from Preorder and Inorder Traversal,Tree,https://www.youtube.com/watch?v=YYl2Tp-Wqcw,Medium
113,Validate Binary Search Tree,Tree,https://www.youtube.com/watch?v=QaCMLopSwWI,Medium
114,Kth Smallest Element in a BST,Tree,https://www.youtube.com/watch?v=tAUB05a6ys4,Medium
115,Lowest Common Ancestor of BST,Tree,https://www.youtube.com/watch?v=1HUmPsyFb9U,Medium
116,Binary Tree Zigzag Level Order Traversal,Tree,https://www.youtube.com/watch?v=Oy3g4SEKNw0,Medium
117,Implement Trie (Prefix Tree),Tree,https://www.youtube.com/watch?v=nLTqtBLhPbQ,Medium
118,Add and Search Word,Tree,https://www.youtube.com/watch?v=Z7Kr2b4d9fE,Medium
119,Word Search II,Tree,https://www.youtube.com/watch?v=8K2Sh9ingJA,Hard
120,High Five,Heap,https://www.youtube.com/watch?v=z4c5QzarJxI,Easy
121,Top K Frequent Elements,Heap,https://www.youtube.com/watch?v=QubWUx59QCk,Medium
122,Kth Largest Element in an Array,Heap,https://www.youtube.com/watch?v=kmUL7CAOSwc,Medium
123,Sliding Window Maximum,Heap,https://www.youtube.com/watch?v=GIYk1wit12k,Hard
124,Find Median from Data Stream,Heap,https://www.youtube.com/watch?v=IKpM6Q8wTIY,Hard
125,Employee Free Time,Heap,https://www.youtube.com/watch?v=99l7goR4y0U,Hard
126,Sum of Two Integers,Binary-Bit Manipulation,https://www.youtube.com/watch?v=oQqe3N2aSd4,Medium
127,Number of 1 Bits,Binary-Bit Manipulation,https://www.youtube.com/watch?v=xx9vN3n0_SA,Easy
128,Counting Bits,Binary-Bit Manipulation,https://www.youtube.com/watch?v=f9vCuICgRpU,Easy
